minusLOG10p-value(GFP vs WT),Difference(GFP vs WT),Gene names
0.153154662,-0.048243841,UQCRH
2.101799512,-0.564581553,LYN
0.56700008,-0.211117427,FH
1.090436267,0.274937948,HSPA1A
0.028144805,0.021973292,PFKM
0.930634466,-0.415623983,HSP90AB1
2.177354188,-0.418942769,SRPR
0.351052985,0.152354558,ASNS
0.958524984,0.326450348,PDHA1
1.464469765,0.951325734,CYC1
0.005652735,-0.001792272,SNRNP70
5.570525603,-1.209331512,VIM
0.804771628,-0.600081126,RPS17
0.962430294,-0.232191722,GNAI3
1.969575857,1.262185415,HMGB1
2.332245022,-0.840614955,CLTA
3.898044221,-0.701102575,CLTB
2.039483846,-0.563940684,CNP
1.879296409,0.421784083,DLD
0.248755765,0.091065725,COX6C
4.154068633,2.913578033,PARP1
0.061949773,0.030135473,UCHL1
1.119774817,1.47785759,H2AFZ
1.941241035,-0.821454366,CISD3
0.860192454,0.517922719,FDX1
2.26737429,0.549576441,HIST1H1E
0.378597168,0.133082708,DLAT
1.987323852,-0.779913584,PTPRF
0.371586601,-0.198778788,TXN
4.391089462,-1.003882726,COX5B
2.395521471,0.450233459,HSPD1
2.767289692,0.64642334,HSPA5
2.184784419,0.402868271,HSPA8
0.324285374,-0.364885966,SLC2A1
2.386490496,-0.429552078,EPB41
0.202882684,0.071434657,PDHB
3.29981688,1.260361354,DBT
2.298053428,-0.635931015,RALA
0.801716802,-0.136384964,LAMP1
0.580055341,0.251903534,ACADM
3.902626659,2.06576856,TOP1
1.956843154,1.695631663,TOP2A
2.373193668,0.614192327,PC
1.992355268,-0.278936386,MTHFD1
0.520375563,-0.111083984,IGF2R
0.867207972,0.078520457,PABPC1
0.308604786,0.294703166,PCNA
0.624806089,0.273629506,SLC25A4
1.67502909,-0.365762711,SLC25A6
0.57528221,-0.485410055,CKB
2.024111445,1.367054621,CKMT1A
3.950620169,-1.434437434,SRC
3.94823882,2.429368337,XRCC6
3.195757334,3.127747854,XRCC5
0.065873786,-0.051214854,COX4I1
1.378325903,-0.661587397,NCAM1
1.091159633,0.48129336,EEF2
0.647733508,-0.397438049,PDIA4
1.331200749,-0.744194031,P4HA1
2.24997047,0.524857203,PLS3
0.607776078,0.314070384,ETFA
1.978909521,-1.404933294,PRKAR2A
1.38109909,0.806863785,MTHFD2
0.028297013,0.01711909,PKM
0.091622767,-0.047751109,HSP90B1
2.748892353,-1.398728053,COX6B1
0.427496602,0.227542877,HNRNPL
1.114303485,-0.662258148,DARS
1.075782531,-0.500895818,JUP
1.473180712,0.743962606,UQCRB
3.984562488,-0.676256816,PVR
0.384800344,-1.557515462,MYOD1
0.175636637,-0.092964808,EZR
1.637198303,-0.445672989,RPS2
1.338316665,-2.058077494,DSP
0.905499882,0.520613988,CBR1
0.797457478,0.37386322,HIST1H1C
1.087174266,-0.602087657,POR
1.722381784,-0.297242483,ATP2A2
2.370223828,-1.419804891,STMN1
0.176935413,0.053568522,YBX3
2.676630756,0.333839417,HSPA6
1.454458046,0.532039007,HMGA1
1.864840965,-1.768506368,NDUFB7
0.112517146,0.099274317,PRKACA
1.138715623,-0.387154897,CTPS1
0.017356135,-0.020540237,PFKL
0.309829484,-0.400517146,LGALS3
